"","country","codigo"
"1","switzerland","CHELOCOBDNOSTSAM"
"2","switzerland","BSCICP02CHM460S"
"3","switzerland","LMUNRLTTCHM647S"
"4","switzerland","CPGRLE01CHM657N"
"5","switzerland","IRSTCI01CHM156N"
"6","switzerland","XTEXVA01CHM657S"
"7","switzerland","CHEXTEXVA01CXMLM"
